"region","år","arbetsställets sektortillhörighet","ålder",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0821 Högsby","2017","kommunalt ägda företag och organisationer","55-59 år",5
"0821 Högsby","2017","kommunalt ägda företag och organisationer","60-64 år",4
"0821 Högsby","2017","kommunalt ägda företag och organisationer","65+ år",0
"0834 Torsås","2008","primärkommunal förvaltning","55-59 år",125
"0834 Torsås","2008","primärkommunal förvaltning","60-64 år",85
"0834 Torsås","2008","primärkommunal förvaltning","65+ år",13
"0834 Torsås","2008","kommunalt ägda företag och organisationer","55-59 år",10
"0834 Torsås","2008","kommunalt ägda företag och organisationer","60-64 år",10
"0834 Torsås","2008","kommunalt ägda företag och organisationer","65+ år",1
"0834 Torsås","2009","primärkommunal förvaltning","55-59 år",96
"0834 Torsås","2009","primärkommunal förvaltning","60-64 år",107
"0834 Torsås","2009","primärkommunal förvaltning","65+ år",8
"0834 Torsås","2009","kommunalt ägda företag och organisationer","55-59 år",13
"0834 Torsås","2009","kommunalt ägda företag och organisationer","60-64 år",8
"0834 Torsås","2009","kommunalt ägda företag och organisationer","65+ år",1
"0834 Torsås","2010","primärkommunal förvaltning","55-59 år",94
"0834 Torsås","2010","primärkommunal förvaltning","60-64 år",104
"0834 Torsås","2010","primärkommunal förvaltning","65+ år",12
"0834 Torsås","2010","kommunalt ägda företag och organisationer","55-59 år",14
"0834 Torsås","2010","kommunalt ägda företag och organisationer","60-64 år",8
"0834 Torsås","2010","kommunalt ägda företag och organisationer","65+ år",1
"0834 Torsås","2011","primärkommunal förvaltning","55-59 år",96
"0834 Torsås","2011","primärkommunal förvaltning","60-64 år",111
"0834 Torsås","2011","primärkommunal förvaltning","65+ år",17
"0834 Torsås","2011","kommunalt ägda företag och organisationer","55-59 år",12
"0834 Torsås","2011","kommunalt ägda företag och organisationer","60-64 år",6
"0834 Torsås","2011","kommunalt ägda företag och organisationer","65+ år",0
"0834 Torsås","2012","primärkommunal förvaltning","55-59 år",99
"0834 Torsås","2012","primärkommunal förvaltning","60-64 år",104
"0834 Torsås","2012","primärkommunal förvaltning","65+ år",16
"0834 Torsås","2012","kommunalt ägda företag och organisationer","55-59 år",14
"0834 Torsås","2012","kommunalt ägda företag och organisationer","60-64 år",5
"0834 Torsås","2012","kommunalt ägda företag och organisationer","65+ år",2
"0834 Torsås","2013","primärkommunal förvaltning","55-59 år",92
"0834 Torsås","2013","primärkommunal förvaltning","60-64 år",104
"0834 Torsås","2013","primärkommunal förvaltning","65+ år",23
"0834 Torsås","2013","kommunalt ägda företag och organisationer","55-59 år",10
"0834 Torsås","2013","kommunalt ägda företag och organisationer","60-64 år",10
"0834 Torsås","2013","kommunalt ägda företag och organisationer","65+ år",1
"0834 Torsås","2014","primärkommunal förvaltning","55-59 år",93
"0834 Torsås","2014","primärkommunal förvaltning","60-64 år",86
"0834 Torsås","2014","primärkommunal förvaltning","65+ år",37
"0834 Torsås","2014","kommunalt ägda företag och organisationer","55-59 år",9
"0834 Torsås","2014","kommunalt ägda företag och organisationer","60-64 år",10
"0834 Torsås","2014","kommunalt ägda företag och organisationer","65+ år",0
"0834 Torsås","2015","primärkommunal förvaltning","55-59 år",101
"0834 Torsås","2015","primärkommunal förvaltning","60-64 år",85
"0834 Torsås","2015","primärkommunal förvaltning","65+ år",40
"0834 Torsås","2015","kommunalt ägda företag och organisationer","55-59 år",9
"0834 Torsås","2015","kommunalt ägda företag och organisationer","60-64 år",9
"0834 Torsås","2015","kommunalt ägda företag och organisationer","65+ år",0
"0834 Torsås","2016","primärkommunal förvaltning","55-59 år",82
"0834 Torsås","2016","primärkommunal förvaltning","60-64 år",95
"0834 Torsås","2016","primärkommunal förvaltning","65+ år",38
"0834 Torsås","2016","kommunalt ägda företag och organisationer","55-59 år",10
"0834 Torsås","2016","kommunalt ägda företag och organisationer","60-64 år",8
"0834 Torsås","2016","kommunalt ägda företag och organisationer","65+ år",1
"0834 Torsås","2017","primärkommunal förvaltning","55-59 år",92
"0834 Torsås","2017","primärkommunal förvaltning","60-64 år",94
"0834 Torsås","2017","primärkommunal förvaltning","65+ år",43
"0834 Torsås","2017","kommunalt ägda företag och organisationer","55-59 år",9
"0834 Torsås","2017","kommunalt ägda företag och organisationer","60-64 år",10
"0834 Torsås","2017","kommunalt ägda företag och organisationer","65+ år",0
"0840 Mörbylånga","2008","primärkommunal förvaltning","55-59 år",234
"0840 Mörbylånga","2008","primärkommunal förvaltning","60-64 år",200
"0840 Mörbylånga","2008","primärkommunal förvaltning","65+ år",27
"0840 Mörbylånga","2008","kommunalt ägda företag och organisationer","55-59 år",28
"0840 Mörbylånga","2008","kommunalt ägda företag och organisationer","60-64 år",28
"0840 Mörbylånga","2008","kommunalt ägda företag och organisationer","65+ år",4
"0840 Mörbylånga","2009","primärkommunal förvaltning","55-59 år",221
"0840 Mörbylånga","2009","primärkommunal förvaltning","60-64 år",195
"0840 Mörbylånga","2009","primärkommunal förvaltning","65+ år",41
"0840 Mörbylånga","2009","kommunalt ägda företag och organisationer","55-59 år",31
"0840 Mörbylånga","2009","kommunalt ägda företag och organisationer","60-64 år",24
"0840 Mörbylånga","2009","kommunalt ägda företag och organisationer","65+ år",5
"0840 Mörbylånga","2010","primärkommunal förvaltning","55-59 år",223
"0840 Mörbylånga","2010","primärkommunal förvaltning","60-64 år",207
"0840 Mörbylånga","2010","primärkommunal förvaltning","65+ år",43
"0840 Mörbylånga","2010","kommunalt ägda företag och organisationer","55-59 år",26
"0840 Mörbylånga","2010","kommunalt ägda företag och organisationer","60-64 år",29
"0840 Mörbylånga","2010","kommunalt ägda företag och organisationer","65+ år",5
"0840 Mörbylånga","2011","primärkommunal förvaltning","55-59 år",217
"0840 Mörbylånga","2011","primärkommunal förvaltning","60-64 år",225
"0840 Mörbylånga","2011","primärkommunal förvaltning","65+ år",46
"0840 Mörbylånga","2011","kommunalt ägda företag och organisationer","55-59 år",30
"0840 Mörbylånga","2011","kommunalt ägda företag och organisationer","60-64 år",29
"0840 Mörbylånga","2011","kommunalt ägda företag och organisationer","65+ år",8
"0840 Mörbylånga","2012","primärkommunal förvaltning","55-59 år",203
"0840 Mörbylånga","2012","primärkommunal förvaltning","60-64 år",203
"0840 Mörbylånga","2012","primärkommunal förvaltning","65+ år",56
"0840 Mörbylånga","2012","kommunalt ägda företag och organisationer","55-59 år",45
"0840 Mörbylånga","2012","kommunalt ägda företag och organisationer","60-64 år",40
"0840 Mörbylånga","2012","kommunalt ägda företag och organisationer","65+ år",8
"0840 Mörbylånga","2013","primärkommunal förvaltning","55-59 år",192
"0840 Mörbylånga","2013","primärkommunal förvaltning","60-64 år",182
"0840 Mörbylånga","2013","primärkommunal förvaltning","65+ år",57
"0840 Mörbylånga","2013","kommunalt ägda företag och organisationer","55-59 år",42
"0840 Mörbylånga","2013","kommunalt ägda företag och organisationer","60-64 år",37
"0840 Mörbylånga","2013","kommunalt ägda företag och organisationer","65+ år",6
"0840 Mörbylånga","2014","primärkommunal förvaltning","55-59 år",196
"0840 Mörbylånga","2014","primärkommunal förvaltning","60-64 år",186
"0840 Mörbylånga","2014","primärkommunal förvaltning","65+ år",56
"0840 Mörbylånga","2014","kommunalt ägda företag och organisationer","55-59 år",35
"0840 Mörbylånga","2014","kommunalt ägda företag och organisationer","60-64 år",42
"0840 Mörbylånga","2014","kommunalt ägda företag och organisationer","65+ år",7
"0840 Mörbylånga","2015","primärkommunal förvaltning","55-59 år",194
"0840 Mörbylånga","2015","primärkommunal förvaltning","60-64 år",184
"0840 Mörbylånga","2015","primärkommunal förvaltning","65+ år",65
"0840 Mörbylånga","2015","kommunalt ägda företag och organisationer","55-59 år",40
"0840 Mörbylånga","2015","kommunalt ägda företag och organisationer","60-64 år",36
"0840 Mörbylånga","2015","kommunalt ägda företag och organisationer","65+ år",11
"0840 Mörbylånga","2016","primärkommunal förvaltning","55-59 år",199
"0840 Mörbylånga","2016","primärkommunal förvaltning","60-64 år",187
"0840 Mörbylånga","2016","primärkommunal förvaltning","65+ år",76
"0840 Mörbylånga","2016","kommunalt ägda företag och organisationer","55-59 år",35
"0840 Mörbylånga","2016","kommunalt ägda företag och organisationer","60-64 år",37
"0840 Mörbylånga","2016","kommunalt ägda företag och organisationer","65+ år",11
"0840 Mörbylånga","2017","primärkommunal förvaltning","55-59 år",193
"0840 Mörbylånga","2017","primärkommunal förvaltning","60-64 år",196
"0840 Mörbylånga","2017","primärkommunal förvaltning","65+ år",78
"0840 Mörbylånga","2017","kommunalt ägda företag och organisationer","55-59 år",33
"0840 Mörbylånga","2017","kommunalt ägda företag och organisationer","60-64 år",39
"0840 Mörbylånga","2017","kommunalt ägda företag och organisationer","65+ år",9
"0860 Hultsfred","2008","primärkommunal förvaltning","55-59 år",237
"0860 Hultsfred","2008","primärkommunal förvaltning","60-64 år",202
"0860 Hultsfred","2008","primärkommunal förvaltning","65+ år",30
"0860 Hultsfred","2008","kommunalt ägda företag och organisationer","55-59 år",7
"0860 Hultsfred","2008","kommunalt ägda företag och organisationer","60-64 år",9
"0860 Hultsfred","2008","kommunalt ägda företag och organisationer","65+ år",3
"0860 Hultsfred","2009","primärkommunal förvaltning","55-59 år",214
"0860 Hultsfred","2009","primärkommunal förvaltning","60-64 år",199
"0860 Hultsfred","2009","primärkommunal förvaltning","65+ år",37
"0860 Hultsfred","2009","kommunalt ägda företag och organisationer","55-59 år",10
"0860 Hultsfred","2009","kommunalt ägda företag och organisationer","60-64 år",7
"0860 Hultsfred","2009","kommunalt ägda företag och organisationer","65+ år",1
"0860 Hultsfred","2010","primärkommunal förvaltning","55-59 år",199
"0860 Hultsfred","2010","primärkommunal förvaltning","60-64 år",195
"0860 Hultsfred","2010","primärkommunal förvaltning","65+ år",36
"0860 Hultsfred","2010","kommunalt ägda företag och organisationer","55-59 år",11
"0860 Hultsfred","2010","kommunalt ägda företag och organisationer","60-64 år",9
"0860 Hultsfred","2010","kommunalt ägda företag och organisationer","65+ år",1
"0860 Hultsfred","2011","primärkommunal förvaltning","55-59 år",193
"0860 Hultsfred","2011","primärkommunal förvaltning","60-64 år",177
"0860 Hultsfred","2011","primärkommunal förvaltning","65+ år",33
"0860 Hultsfred","2011","kommunalt ägda företag och organisationer","55-59 år",19
"0860 Hultsfred","2011","kommunalt ägda företag och organisationer","60-64 år",19
"0860 Hultsfred","2011","kommunalt ägda företag och organisationer","65+ år",1
"0860 Hultsfred","2012","primärkommunal förvaltning","55-59 år",187
"0860 Hultsfred","2012","primärkommunal förvaltning","60-64 år",171
"0860 Hultsfred","2012","primärkommunal förvaltning","65+ år",39
"0860 Hultsfred","2012","kommunalt ägda företag och organisationer","55-59 år",20
"0860 Hultsfred","2012","kommunalt ägda företag och organisationer","60-64 år",17
"0860 Hultsfred","2012","kommunalt ägda företag och organisationer","65+ år",2
"0860 Hultsfred","2013","primärkommunal förvaltning","55-59 år",197
"0860 Hultsfred","2013","primärkommunal förvaltning","60-64 år",179
"0860 Hultsfred","2013","primärkommunal förvaltning","65+ år",35
"0860 Hultsfred","2013","kommunalt ägda företag och organisationer","55-59 år",18
"0860 Hultsfred","2013","kommunalt ägda företag och organisationer","60-64 år",17
"0860 Hultsfred","2013","kommunalt ägda företag och organisationer","65+ år",7
"0860 Hultsfred","2014","primärkommunal förvaltning","55-59 år",211
"0860 Hultsfred","2014","primärkommunal förvaltning","60-64 år",168
"0860 Hultsfred","2014","primärkommunal förvaltning","65+ år",30
"0860 Hultsfred","2014","kommunalt ägda företag och organisationer","55-59 år",16
"0860 Hultsfred","2014","kommunalt ägda företag och organisationer","60-64 år",22
"0860 Hultsfred","2014","kommunalt ägda företag och organisationer","65+ år",4
"0860 Hultsfred","2015","primärkommunal förvaltning","55-59 år",217
"0860 Hultsfred","2015","primärkommunal förvaltning","60-64 år",161
"0860 Hultsfred","2015","primärkommunal förvaltning","65+ år",40
"0860 Hultsfred","2015","kommunalt ägda företag och organisationer","55-59 år",11
"0860 Hultsfred","2015","kommunalt ägda företag och organisationer","60-64 år",22
"0860 Hultsfred","2015","kommunalt ägda företag och organisationer","65+ år",6
"0860 Hultsfred","2016","primärkommunal förvaltning","55-59 år",208
"0860 Hultsfred","2016","primärkommunal förvaltning","60-64 år",159
"0860 Hultsfred","2016","primärkommunal förvaltning","65+ år",52
"0860 Hultsfred","2016","kommunalt ägda företag och organisationer","55-59 år",10
"0860 Hultsfred","2016","kommunalt ägda företag och organisationer","60-64 år",20
"0860 Hultsfred","2016","kommunalt ägda företag och organisationer","65+ år",5
"0860 Hultsfred","2017","primärkommunal förvaltning","55-59 år",232
"0860 Hultsfred","2017","primärkommunal förvaltning","60-64 år",165
"0860 Hultsfred","2017","primärkommunal förvaltning","65+ år",40
"0860 Hultsfred","2017","kommunalt ägda företag och organisationer","55-59 år",8
"0860 Hultsfred","2017","kommunalt ägda företag och organisationer","60-64 år",19
"0860 Hultsfred","2017","kommunalt ägda företag och organisationer","65+ år",5
"0861 Mönsterås","2008","primärkommunal förvaltning","55-59 år",189
"0861 Mönsterås","2008","primärkommunal förvaltning","60-64 år",177
"0861 Mönsterås","2008","primärkommunal förvaltning","65+ år",33
"0861 Mönsterås","2008","kommunalt ägda företag och organisationer","55-59 år",12
"0861 Mönsterås","2008","kommunalt ägda företag och organisationer","60-64 år",11
"0861 Mönsterås","2008","kommunalt ägda företag och organisationer","65+ år",7
"0861 Mönsterås","2009","primärkommunal förvaltning","55-59 år",187
"0861 Mönsterås","2009","primärkommunal förvaltning","60-64 år",170
"0861 Mönsterås","2009","primärkommunal förvaltning","65+ år",46
"0861 Mönsterås","2009","kommunalt ägda företag och organisationer","55-59 år",11
"0861 Mönsterås","2009","kommunalt ägda företag och organisationer","60-64 år",10
"0861 Mönsterås","2009","kommunalt ägda företag och organisationer","65+ år",9
"0861 Mönsterås","2010","primärkommunal förvaltning","55-59 år",188
"0861 Mönsterås","2010","primärkommunal förvaltning","60-64 år",175
"0861 Mönsterås","2010","primärkommunal förvaltning","65+ år",40
"0861 Mönsterås","2010","kommunalt ägda företag och organisationer","55-59 år",16
"0861 Mönsterås","2010","kommunalt ägda företag och organisationer","60-64 år",8
"0861 Mönsterås","2010","kommunalt ägda företag och organisationer","65+ år",7
"0861 Mönsterås","2011","primärkommunal förvaltning","55-59 år",200
"0861 Mönsterås","2011","primärkommunal förvaltning","60-64 år",169
"0861 Mönsterås","2011","primärkommunal förvaltning","65+ år",39
"0861 Mönsterås","2011","kommunalt ägda företag och organisationer","55-59 år",15
"0861 Mönsterås","2011","kommunalt ägda företag och organisationer","60-64 år",8
"0861 Mönsterås","2011","kommunalt ägda företag och organisationer","65+ år",2
"0861 Mönsterås","2012","primärkommunal förvaltning","55-59 år",188
"0861 Mönsterås","2012","primärkommunal förvaltning","60-64 år",176
"0861 Mönsterås","2012","primärkommunal förvaltning","65+ år",42
"0861 Mönsterås","2012","kommunalt ägda företag och organisationer","55-59 år",17
"0861 Mönsterås","2012","kommunalt ägda företag och organisationer","60-64 år",8
"0861 Mönsterås","2012","kommunalt ägda företag och organisationer","65+ år",3
"0861 Mönsterås","2013","primärkommunal förvaltning","55-59 år",193
"0861 Mönsterås","2013","primärkommunal förvaltning","60-64 år",175
"0861 Mönsterås","2013","primärkommunal förvaltning","65+ år",57
"0861 Mönsterås","2013","kommunalt ägda företag och organisationer","55-59 år",14
"0861 Mönsterås","2013","kommunalt ägda företag och organisationer","60-64 år",8
"0861 Mönsterås","2013","kommunalt ägda företag och organisationer","65+ år",3
"0861 Mönsterås","2014","primärkommunal förvaltning","55-59 år",187
"0861 Mönsterås","2014","primärkommunal förvaltning","60-64 år",168
"0861 Mönsterås","2014","primärkommunal förvaltning","65+ år",57
"0861 Mönsterås","2014","kommunalt ägda företag och organisationer","55-59 år",16
"0861 Mönsterås","2014","kommunalt ägda företag och organisationer","60-64 år",6
"0861 Mönsterås","2014","kommunalt ägda företag och organisationer","65+ år",4
"0861 Mönsterås","2015","primärkommunal förvaltning","55-59 år",181
"0861 Mönsterås","2015","primärkommunal förvaltning","60-64 år",165
"0861 Mönsterås","2015","primärkommunal förvaltning","65+ år",55
"0861 Mönsterås","2015","kommunalt ägda företag och organisationer","55-59 år",14
"0861 Mönsterås","2015","kommunalt ägda företag och organisationer","60-64 år",10
"0861 Mönsterås","2015","kommunalt ägda företag och organisationer","65+ år",2
"0861 Mönsterås","2016","primärkommunal förvaltning","55-59 år",168
"0861 Mönsterås","2016","primärkommunal förvaltning","60-64 år",176
"0861 Mönsterås","2016","primärkommunal förvaltning","65+ år",53
"0861 Mönsterås","2016","kommunalt ägda företag och organisationer","55-59 år",19
"0861 Mönsterås","2016","kommunalt ägda företag och organisationer","60-64 år",9
"0861 Mönsterås","2016","kommunalt ägda företag och organisationer","65+ år",4
"0861 Mönsterås","2017","primärkommunal förvaltning","55-59 år",163
"0861 Mönsterås","2017","primärkommunal förvaltning","60-64 år",164
"0861 Mönsterås","2017","primärkommunal förvaltning","65+ år",75
"0861 Mönsterås","2017","kommunalt ägda företag och organisationer","55-59 år",20
"0861 Mönsterås","2017","kommunalt ägda företag och organisationer","60-64 år",9
"0861 Mönsterås","2017","kommunalt ägda företag och organisationer","65+ år",4
"0862 Emmaboda","2008","primärkommunal förvaltning","55-59 år",132
"0862 Emmaboda","2008","primärkommunal förvaltning","60-64 år",111
"0862 Emmaboda","2008","primärkommunal förvaltning","65+ år",16
"0862 Emmaboda","2008","kommunalt ägda företag och organisationer","55-59 år",10
"0862 Emmaboda","2008","kommunalt ägda företag och organisationer","60-64 år",14
"0862 Emmaboda","2008","kommunalt ägda företag och organisationer","65+ år",3
"0862 Emmaboda","2009","primärkommunal förvaltning","55-59 år",115
"0862 Emmaboda","2009","primärkommunal förvaltning","60-64 år",118
"0862 Emmaboda","2009","primärkommunal förvaltning","65+ år",21
"0862 Emmaboda","2009","kommunalt ägda företag och organisationer","55-59 år",13
"0862 Emmaboda","2009","kommunalt ägda företag och organisationer","60-64 år",13
"0862 Emmaboda","2009","kommunalt ägda företag och organisationer","65+ år",6
"0862 Emmaboda","2010","primärkommunal förvaltning","55-59 år",119
"0862 Emmaboda","2010","primärkommunal förvaltning","60-64 år",111
"0862 Emmaboda","2010","primärkommunal förvaltning","65+ år",20
"0862 Emmaboda","2010","kommunalt ägda företag och organisationer","55-59 år",15
"0862 Emmaboda","2010","kommunalt ägda företag och organisationer","60-64 år",9
"0862 Emmaboda","2010","kommunalt ägda företag och organisationer","65+ år",9
"0862 Emmaboda","2011","primärkommunal förvaltning","55-59 år",120
"0862 Emmaboda","2011","primärkommunal förvaltning","60-64 år",114
"0862 Emmaboda","2011","primärkommunal förvaltning","65+ år",19
"0862 Emmaboda","2011","kommunalt ägda företag och organisationer","55-59 år",16
"0862 Emmaboda","2011","kommunalt ägda företag och organisationer","60-64 år",10
"0862 Emmaboda","2011","kommunalt ägda företag och organisationer","65+ år",2
"0862 Emmaboda","2012","primärkommunal förvaltning","55-59 år",119
"0862 Emmaboda","2012","primärkommunal förvaltning","60-64 år",108
"0862 Emmaboda","2012","primärkommunal förvaltning","65+ år",26
"0862 Emmaboda","2012","kommunalt ägda företag och organisationer","55-59 år",15
"0862 Emmaboda","2012","kommunalt ägda företag och organisationer","60-64 år",15
"0862 Emmaboda","2012","kommunalt ägda företag och organisationer","65+ år",3
"0862 Emmaboda","2013","primärkommunal förvaltning","55-59 år",119
"0862 Emmaboda","2013","primärkommunal förvaltning","60-64 år",101
"0862 Emmaboda","2013","primärkommunal förvaltning","65+ år",27
"0862 Emmaboda","2013","kommunalt ägda företag och organisationer","55-59 år",15
"0862 Emmaboda","2013","kommunalt ägda företag och organisationer","60-64 år",14
"0862 Emmaboda","2013","kommunalt ägda företag och organisationer","65+ år",3
"0862 Emmaboda","2014","primärkommunal förvaltning","55-59 år",123
"0862 Emmaboda","2014","primärkommunal förvaltning","60-64 år",95
"0862 Emmaboda","2014","primärkommunal förvaltning","65+ år",35
"0862 Emmaboda","2014","kommunalt ägda företag och organisationer","55-59 år",17
"0862 Emmaboda","2014","kommunalt ägda företag och organisationer","60-64 år",13
"0862 Emmaboda","2014","kommunalt ägda företag och organisationer","65+ år",1
"0862 Emmaboda","2015","primärkommunal förvaltning","55-59 år",124
"0862 Emmaboda","2015","primärkommunal förvaltning","60-64 år",103
"0862 Emmaboda","2015","primärkommunal förvaltning","65+ år",32
"0862 Emmaboda","2015","kommunalt ägda företag och organisationer","55-59 år",18
"0862 Emmaboda","2015","kommunalt ägda företag och organisationer","60-64 år",13
"0862 Emmaboda","2015","kommunalt ägda företag och organisationer","65+ år",0
"0862 Emmaboda","2016","primärkommunal förvaltning","55-59 år",132
"0862 Emmaboda","2016","primärkommunal förvaltning","60-64 år",104
"0862 Emmaboda","2016","primärkommunal förvaltning","65+ år",28
"0862 Emmaboda","2016","kommunalt ägda företag och organisationer","55-59 år",15
"0862 Emmaboda","2016","kommunalt ägda företag och organisationer","60-64 år",17
"0862 Emmaboda","2016","kommunalt ägda företag och organisationer","65+ år",1
"0862 Emmaboda","2017","primärkommunal förvaltning","55-59 år",135
"0862 Emmaboda","2017","primärkommunal förvaltning","60-64 år",116
"0862 Emmaboda","2017","primärkommunal förvaltning","65+ år",35
"0862 Emmaboda","2017","kommunalt ägda företag och organisationer","55-59 år",14
"0862 Emmaboda","2017","kommunalt ägda företag och organisationer","60-64 år",17
"0862 Emmaboda","2017","kommunalt ägda företag och organisationer","65+ år",8
"0880 Kalmar","2008","primärkommunal förvaltning","55-59 år",777
"0880 Kalmar","2008","primärkommunal förvaltning","60-64 år",591
"0880 Kalmar","2008","primärkommunal förvaltning","65+ år",94
"0880 Kalmar","2008","kommunalt ägda företag och organisationer","55-59 år",132
"0880 Kalmar","2008","kommunalt ägda företag och organisationer","60-64 år",137
"0880 Kalmar","2008","kommunalt ägda företag och organisationer","65+ år",33
"0880 Kalmar","2009","primärkommunal förvaltning","55-59 år",784
"0880 Kalmar","2009","primärkommunal förvaltning","60-64 år",614
"0880 Kalmar","2009","primärkommunal förvaltning","65+ år",87
"0880 Kalmar","2009","kommunalt ägda företag och organisationer","55-59 år",137
"0880 Kalmar","2009","kommunalt ägda företag och organisationer","60-64 år",122
"0880 Kalmar","2009","kommunalt ägda företag och organisationer","65+ år",38
"0880 Kalmar","2010","primärkommunal förvaltning","55-59 år",810
"0880 Kalmar","2010","primärkommunal förvaltning","60-64 år",617
"0880 Kalmar","2010","primärkommunal förvaltning","65+ år",101
"0880 Kalmar","2010","kommunalt ägda företag och organisationer","55-59 år",117
"0880 Kalmar","2010","kommunalt ägda företag och organisationer","60-64 år",129
"0880 Kalmar","2010","kommunalt ägda företag och organisationer","65+ år",30
"0880 Kalmar","2011","primärkommunal förvaltning","55-59 år",810
"0880 Kalmar","2011","primärkommunal förvaltning","60-64 år",643
"0880 Kalmar","2011","primärkommunal förvaltning","65+ år",116
"0880 Kalmar","2011","kommunalt ägda företag och organisationer","55-59 år",124
"0880 Kalmar","2011","kommunalt ägda företag och organisationer","60-64 år",113
"0880 Kalmar","2011","kommunalt ägda företag och organisationer","65+ år",32
"0880 Kalmar","2012","primärkommunal förvaltning","55-59 år",817
"0880 Kalmar","2012","primärkommunal förvaltning","60-64 år",620
"0880 Kalmar","2012","primärkommunal förvaltning","65+ år",143
"0880 Kalmar","2012","kommunalt ägda företag och organisationer","55-59 år",118
"0880 Kalmar","2012","kommunalt ägda företag och organisationer","60-64 år",109
"0880 Kalmar","2012","kommunalt ägda företag och organisationer","65+ år",31
"0880 Kalmar","2013","primärkommunal förvaltning","55-59 år",779
"0880 Kalmar","2013","primärkommunal förvaltning","60-64 år",675
"0880 Kalmar","2013","primärkommunal förvaltning","65+ år",153
"0880 Kalmar","2013","kommunalt ägda företag och organisationer","55-59 år",106
"0880 Kalmar","2013","kommunalt ägda företag och organisationer","60-64 år",111
"0880 Kalmar","2013","kommunalt ägda företag och organisationer","65+ år",40
"0880 Kalmar","2014","primärkommunal förvaltning","55-59 år",784
"0880 Kalmar","2014","primärkommunal förvaltning","60-64 år",692
"0880 Kalmar","2014","primärkommunal förvaltning","65+ år",158
"0880 Kalmar","2014","kommunalt ägda företag och organisationer","55-59 år",116
"0880 Kalmar","2014","kommunalt ägda företag och organisationer","60-64 år",117
"0880 Kalmar","2014","kommunalt ägda företag och organisationer","65+ år",32
"0880 Kalmar","2015","primärkommunal förvaltning","55-59 år",769
"0880 Kalmar","2015","primärkommunal förvaltning","60-64 år",711
"0880 Kalmar","2015","primärkommunal förvaltning","65+ år",163
"0880 Kalmar","2015","kommunalt ägda företag och organisationer","55-59 år",107
"0880 Kalmar","2015","kommunalt ägda företag och organisationer","60-64 år",113
"0880 Kalmar","2015","kommunalt ägda företag och organisationer","65+ år",37
"0880 Kalmar","2016","primärkommunal förvaltning","55-59 år",774
"0880 Kalmar","2016","primärkommunal förvaltning","60-64 år",705
"0880 Kalmar","2016","primärkommunal förvaltning","65+ år",178
"0880 Kalmar","2016","kommunalt ägda företag och organisationer","55-59 år",114
"0880 Kalmar","2016","kommunalt ägda företag och organisationer","60-64 år",111
"0880 Kalmar","2016","kommunalt ägda företag och organisationer","65+ år",28
"0880 Kalmar","2017","primärkommunal förvaltning","55-59 år",784
"0880 Kalmar","2017","primärkommunal förvaltning","60-64 år",722
"0880 Kalmar","2017","primärkommunal förvaltning","65+ år",188
"0880 Kalmar","2017","kommunalt ägda företag och organisationer","55-59 år",122
"0880 Kalmar","2017","kommunalt ägda företag och organisationer","60-64 år",98
"0880 Kalmar","2017","kommunalt ägda företag och organisationer","65+ år",36
"0881 Nybro","2008","primärkommunal förvaltning","55-59 år",258
"0881 Nybro","2008","primärkommunal förvaltning","60-64 år",226
"0881 Nybro","2008","primärkommunal förvaltning","65+ år",42
"0881 Nybro","2008","kommunalt ägda företag och organisationer","55-59 år",19
"0881 Nybro","2008","kommunalt ägda företag och organisationer","60-64 år",23
"0881 Nybro","2008","kommunalt ägda företag och organisationer","65+ år",3
"0881 Nybro","2009","primärkommunal förvaltning","55-59 år",244
"0881 Nybro","2009","primärkommunal förvaltning","60-64 år",227
"0881 Nybro","2009","primärkommunal förvaltning","65+ år",49
"0881 Nybro","2009","kommunalt ägda företag och organisationer","55-59 år",19
"0881 Nybro","2009","kommunalt ägda företag och organisationer","60-64 år",24
"0881 Nybro","2009","kommunalt ägda företag och organisationer","65+ år",7
"0881 Nybro","2010","primärkommunal förvaltning","55-59 år",259
"0881 Nybro","2010","primärkommunal förvaltning","60-64 år",227
"0881 Nybro","2010","primärkommunal förvaltning","65+ år",49
"0881 Nybro","2010","kommunalt ägda företag och organisationer","55-59 år",18
"0881 Nybro","2010","kommunalt ägda företag och organisationer","60-64 år",23
"0881 Nybro","2010","kommunalt ägda företag och organisationer","65+ år",7
"0881 Nybro","2011","primärkommunal förvaltning","55-59 år",265
"0881 Nybro","2011","primärkommunal förvaltning","60-64 år",222
"0881 Nybro","2011","primärkommunal förvaltning","65+ år",50
"0881 Nybro","2011","kommunalt ägda företag och organisationer","55-59 år",20
"0881 Nybro","2011","kommunalt ägda företag och organisationer","60-64 år",18
"0881 Nybro","2011","kommunalt ägda företag och organisationer","65+ år",9
"0881 Nybro","2012","primärkommunal förvaltning","55-59 år",261
"0881 Nybro","2012","primärkommunal förvaltning","60-64 år",221
"0881 Nybro","2012","primärkommunal förvaltning","65+ år",53
"0881 Nybro","2012","kommunalt ägda företag och organisationer","55-59 år",20
"0881 Nybro","2012","kommunalt ägda företag och organisationer","60-64 år",21
"0881 Nybro","2012","kommunalt ägda företag och organisationer","65+ år",8
"0881 Nybro","2013","primärkommunal förvaltning","55-59 år",275
"0881 Nybro","2013","primärkommunal förvaltning","60-64 år",221
"0881 Nybro","2013","primärkommunal förvaltning","65+ år",61
